,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ПОЛУ И ВОЗРАСТУ  на 1 января 2014 г. *),,,,,,,,,,
,,,,,(человек),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Возраст (лет),Год,Все население,,,Городское население,,,Сельское население,,
,,рожде-,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины
,,ния,и женщины,,,и женщины,,,и женщины,,
,,,,,,,,,,,
,0,2013,1883389 ,967151 ,916238 ,1344780 ,690678 ,654102 ,538609 ,276473 ,262136 
,1,2012,1887170 ,970024 ,917146 ,1341516 ,690265 ,651251 ,545654 ,279759 ,265895 
,2,2011,1785146 ,917061 ,868085 ,1261433 ,648025 ,613408 ,523713 ,269036 ,254677 
,3,2010,1661385 ,852353 ,809032 ,1184443 ,608148 ,576295 ,476942 ,244205 ,232737 
,4,2009,1682059 ,862600 ,819459 ,1194056 ,612910 ,581146 ,488003 ,249690 ,238313 
,0-4,,8899149 ,4569189 ,4329960 ,6326228 ,3250026 ,3076202 ,2572921 ,1319163 ,1253758 
,5,2008,1674120 ,856621 ,817499 ,1174136 ,601265 ,572871 ,499984 ,255356 ,244628 
,6,2007,1584652 ,812673 ,771979 ,1110326 ,569509 ,540817 ,474326 ,243164 ,231162 
,7,2006,1461315 ,748301 ,713014 ,1039204 ,532142 ,507062 ,422111 ,216159 ,205952 
,8,2005,1467723 ,749386 ,718337 ,1047281 ,534686 ,512595 ,420442 ,214700 ,205742 
,9,2004,1474303 ,754574 ,719729 ,1042239 ,533602 ,508637 ,432064 ,220972 ,211092 
,5-9,,7662113 ,3921555 ,3740558 ,5413186 ,2771204 ,2641982 ,2248927 ,1150351 ,1098576 
,10,2003,1459623 ,747768 ,711855 ,1030656 ,528127 ,502529 ,428967 ,219641 ,209326 
,11,2002,1410407 ,722424 ,687983 ,992097 ,508144 ,483953 ,418310 ,214280 ,204030 
,12,2001,1322260 ,677476 ,644784 ,924085 ,472863 ,451222 ,398175 ,204613 ,193562 
,13,2000,1353265 ,694551 ,658714 ,944091 ,484462 ,459629 ,409174 ,210089 ,199085 
,14,1999,1276991 ,654553 ,622438 ,878726 ,450394 ,428332 ,398265 ,204159 ,194106 
,10-14,,6822546 ,3496772 ,3325774 ,4769655 ,2443990 ,2325665 ,2052891 ,1052782 ,1000109 
,15,1998,1332882 ,682410 ,650472 ,916049 ,468268 ,447781 ,416833 ,214142 ,202691 
,16,1997,1294293 ,662176 ,632117 ,906361 ,463294 ,443067 ,387932 ,198882 ,189050 
,17,1996,1363369 ,697710 ,665659 ,971199 ,495394 ,475805 ,392170 ,202316 ,189854 
,18,1995,1447082 ,738661 ,708421 ,1068663 ,539067 ,529596 ,378419 ,199594 ,178825 
,19,1994,1517786 ,778934 ,738852 ,1142241 ,578632 ,563609 ,375545 ,200302 ,175243 
,15-19,,6955412 ,3559891 ,3395521 ,5004513 ,2544655 ,2459858 ,1950899 ,1015236 ,935663 
,20,1993,1549162 ,792289 ,756873 ,1181710 ,594528 ,587182 ,367452 ,197761 ,169691 
,21,1992,1792991 ,913625 ,879366 ,1413350 ,704957 ,708393 ,379641 ,208668 ,170973 
,22,1991,1993047 ,1019167 ,973880 ,1570479 ,793157 ,777322 ,422568 ,226010 ,196558 
,23,1990,2288739 ,1163198 ,1125541 ,1782776 ,892133 ,890643 ,505963 ,271065 ,234898 
,24,1989,2346938 ,1193780 ,1153158 ,1811798 ,907163 ,904635 ,535140 ,286617 ,248523 
,20-24,,9970877 ,5082059 ,4888818 ,7760113 ,3891938 ,3868175 ,2210764 ,1190121 ,1020643 
,25,1988,2450174 ,1241819 ,1208355 ,1878517 ,936371 ,942146 ,571657 ,305448 ,266209 
,26,1987,2565483 ,1302435 ,1263048 ,1962440 ,979901 ,982539 ,603043 ,322534 ,280509 
,27,1986,2546569 ,1286912 ,1259657 ,1954573 ,972890 ,981683 ,591996 ,314022 ,277974 
,28,1985,2512251 ,1258802 ,1253449 ,1945918 ,961190 ,984728 ,566333 ,297612 ,268721 
,29,1984,2447993 ,1230166 ,1217827 ,1895748 ,941348 ,954400 ,552245 ,288818 ,263427 
,25-29,,12522470 ,6320134 ,6202336 ,9637196 ,4791700 ,4845496 ,2885274 ,1528434 ,1356840 
,30,1983,2499455 ,1255113 ,1244342 ,1942420 ,964085 ,978335 ,557035 ,291028 ,266007 
,31,1982,2349165 ,1174808 ,1174357 ,1822754 ,900687 ,922067 ,526411 ,274121 ,252290 
,32,1981,2238386 ,1117419 ,1120967 ,1736015 ,857420 ,878595 ,502371 ,259999 ,242372 
,*) Здесь и далее данные по Российской Федерации приведены без учета данных по Республике Крым.,,,,,,,,,,
,33,1980,2381631 ,1185789 ,1195842 ,1860213 ,917676 ,942537 ,521418 ,268113 ,253305 
,34,1979,2191991 ,1086949 ,1105042 ,1695199 ,832437 ,862762 ,496792 ,254512 ,242280 
,30-34,,11660628 ,5820078 ,5840550 ,9056601 ,4472305 ,4584296 ,2604027 ,1347773 ,1256254 
,35,1978,2176586 ,1071249 ,1105337 ,1678987 ,818421 ,860566 ,497599 ,252828 ,244771 
,36,1977,2108647 ,1032191 ,1076456 ,1620147 ,785112 ,835035 ,488500 ,247079 ,241421 
,37,1976,2125509 ,1038506 ,1087003 ,1630780 ,789001 ,841779 ,494729 ,249505 ,245224 
,38,1975,2143563 ,1041168 ,1102395 ,1645733 ,791567 ,854166 ,497830 ,249601 ,248229 
,39,1974,2059530 ,1002043 ,1057487 ,1570288 ,757323 ,812965 ,489242 ,244720 ,244522 
,35-39,,10613835 ,5185157 ,5428678 ,8145935 ,3941424 ,4204511 ,2467900 ,1243733 ,1224167 
,40,1973,1999132 ,971172 ,1027960 ,1525402 ,734766 ,790636 ,473730 ,236406 ,237324 
,41,1972,2005692 ,973024 ,1032668 ,1523209 ,731942 ,791267 ,482483 ,241082 ,241401 
,42,1971,1933632 ,940377 ,993255 ,1459527 ,703374 ,756153 ,474105 ,237003 ,237102 
,43,1970,2008191 ,978543 ,1029648 ,1522885 ,735688 ,787197 ,485306 ,242855 ,242451 
,44,1969,1803878 ,870478 ,933400 ,1340023 ,638714 ,701309 ,463855 ,231764 ,232091 
,40-44,,9750525 ,4733594 ,5016931 ,7371046 ,3544484 ,3826562 ,2379479 ,1189110 ,1190369 
,45,1968,1778988 ,855688 ,923300 ,1306479 ,619754 ,686725 ,472509 ,235934 ,236575 
,46,1967,1748950 ,836490 ,912460 ,1275713 ,600319 ,675394 ,473237 ,236171 ,237066 
,47,1966,1807333 ,858237 ,949096 ,1309050 ,610374 ,698676 ,498283 ,247863 ,250420 
,48,1965,1907327 ,901827 ,1005500 ,1390182 ,645014 ,745168 ,517145 ,256813 ,260332 
,49,1964,1944231 ,912082 ,1032149 ,1411622 ,648659 ,762963 ,532609 ,263423 ,269186 
,45-49,,9186829 ,4364324 ,4822505 ,6693046 ,3124120 ,3568926 ,2493783 ,1240204 ,1253579 
,50,1963,2083390 ,974396 ,1108994 ,1506760 ,689222 ,817538 ,576630 ,285174 ,291456 
,51,1962,2160230 ,1000726 ,1159504 ,1563357 ,706486 ,856871 ,596873 ,294240 ,302633 
,52,1961,2261405 ,1043644 ,1217761 ,1634528 ,734339 ,900189 ,626877 ,309305 ,317572 
,53,1960,2426193 ,1116764 ,1309429 ,1762982 ,789900 ,973082 ,663211 ,326864 ,336347 
,54,1959,2253005 ,1018768 ,1234237 ,1624318 ,711654 ,912664 ,628687 ,307114 ,321573 
,50-54,,11184223 ,5154298 ,6029925 ,8091945 ,3631601 ,4460344 ,3092278 ,1522697 ,1569581 
,55,1958,2236583 ,1000452 ,1236131 ,1620734 ,702887 ,917847 ,615849 ,297565 ,318284 
,56,1957,2169704 ,963750 ,1205954 ,1572621 ,676370 ,896251 ,597083 ,287380 ,309703 
,57,1956,2084205 ,911510 ,1172695 ,1518516 ,643490 ,875026 ,565689 ,268020 ,297669 
,58,1955,2085945 ,899226 ,1186719 ,1530793 ,639908 ,890885 ,555152 ,259318 ,295834 
,59,1954,2057622 ,874723 ,1182899 ,1512167 ,623584 ,888583 ,545455 ,251139 ,294316 
,55-59,,10634059 ,4649661 ,5984398 ,7754831 ,3286239 ,4468592 ,2879228 ,1363422 ,1515806 
,60,1953,1846989 ,777983 ,1069006 ,1365925 ,558267 ,807658 ,481064 ,219716 ,261348 
,61,1952,1851487 ,770111 ,1081376 ,1371890 ,554033 ,817857 ,479597 ,216078 ,263519 
,62,1951,1767551 ,727580 ,1039971 ,1315890 ,525941 ,789949 ,451661 ,201639 ,250022 
,63,1950,1740984 ,712846 ,1028138 ,1310395 ,523255 ,787140 ,430589 ,189591 ,240998 
,64,1949,1741513 ,697767 ,1043746 ,1307337 ,508950 ,798387 ,434176 ,188817 ,245359 
,60-64,,8948524 ,3686287 ,5262237 ,6671437 ,2670446 ,4000991 ,2277087 ,1015841 ,1261246 
,65,1948,1419845 ,562469 ,857376 ,1078357 ,416287 ,662070 ,341488 ,146182 ,195306 
,66,1947,1370231 ,536252 ,833979 ,1051997 ,403297 ,648700 ,318234 ,132955 ,185279 
,67,1946,1207706 ,461369 ,746337 ,930443 ,349207 ,581236 ,277263 ,112162 ,165101 
,68,1945,731090 ,276148 ,454942 ,576411 ,215224 ,361187 ,154679 ,60924 ,93755 
,69,1944,539903 ,199372 ,340531 ,418058 ,152616 ,265442 ,121845 ,46756 ,75089 
,65-69,,5268775 ,2035610 ,3233165 ,4055266 ,1536631 ,2518635 ,1213509 ,498979 ,714530 
,70,1943,489349 ,176890 ,312459 ,364984 ,131244 ,233740 ,124365 ,45646 ,78719 
,71,1942,715464 ,245490 ,469974 ,520791 ,176609 ,344182 ,194673 ,68881 ,125792 
,72,1941,1092070 ,364188 ,727882 ,796026 ,262516 ,533510 ,296044 ,101672 ,194372 
,73,1940,1155629 ,380905 ,774724 ,837609 ,274448 ,563161 ,318020 ,106457 ,211563 
,74,1939,1225038 ,388863 ,836175 ,884610 ,276754 ,607856 ,340428 ,112109 ,228319 
,70-74,,4677550 ,1556336 ,3121214 ,3404020 ,1121571 ,2282449 ,1273530 ,434765 ,838765 
,75,1938,1187944 ,366719 ,821225 ,859568 ,261367 ,598201 ,328376 ,105352 ,223024 
,76,1937,1154353 ,357427 ,796926 ,850457 ,259409 ,591048 ,303896 ,98018 ,205878 
,77,1936,892021 ,268834 ,623187 ,632767 ,187632 ,445135 ,259254 ,81202 ,178052 
,78,1935,744678 ,219889 ,524789 ,527656 ,152972 ,374684 ,217022 ,66917 ,150105 
,79,1934,551258 ,156995 ,394263 ,390811 ,109025 ,281786 ,160447 ,47970 ,112477 
,75-79,,4530254 ,1369864 ,3160390 ,3261259 ,970405 ,2290854 ,1268995 ,399459 ,869536 
,80,1933,492469 ,135110 ,357359 ,346785 ,93090 ,253695,145684,42020,103664
,81,1932,560627 ,149115 ,411512 ,392208 ,101926 ,290282,168419,47189,121230
,82,1931,509207 ,133169 ,376038 ,359386 ,92135 ,267251,149821,41034,108787
,83,1930,546291 ,140462 ,405829 ,381316 ,96858 ,284458,164975,43604,121371
,84,1929,451963 ,108572 ,343391 ,319827 ,75967 ,243860,132136,32605,99531
,80-84,,2560557 ,666428 ,1894129 ,1799522 ,459976 ,1339546 ,761035 ,206452 ,554583 
,85,1928,424230 ,97074 ,327156 ,300112 ,68600 ,231512,124118,28474,95644
,86,1927,342453 ,77981 ,264472 ,248905 ,58420 ,190485,93548,19561,73987
,87,1926,282848 ,60341 ,222507 ,207187 ,46304 ,160883,75661,14037,61624
,88,1925,216673 ,41693 ,174980 ,160985 ,32295 ,128690,55688,9398,46290
,89,1924,166496 ,29887 ,136609 ,122884 ,22622 ,100262,43612,7265,36347
,85-89,,1432700 ,306976 ,1125724 ,1040073 ,228241 ,811832 ,392627 ,78735 ,313892 
,90,1923,120168 ,20401 ,99767 ,90703 ,15985 ,74718,29465,4416,25049
,91,1922,78439 ,13592 ,64847 ,59295 ,10817 ,48478,19144,2775,16369
,92,1921,54986 ,9892 ,45094 ,42088 ,7879 ,34209,12898,2013,10885
,93,1920,39758 ,7613 ,32145 ,29990 ,6156 ,23834,9768,1457,8311
,94,1919,25279 ,4649 ,20630 ,19285 ,3799 ,15486,5994,850,5144
,90-94,,318630 ,56147 ,262483 ,241361 ,44636 ,196725 ,77269 ,11511 ,65758 
,95,1918,22519 ,3991 ,18528 ,16964 ,3256 ,13708 ,5555 ,735 ,4820 
,96,1917,11394 ,2039 ,9355 ,8632 ,1678 ,6954 ,2762 ,361 ,2401 
,97,1916,8648 ,1544 ,7104 ,6580 ,1294 ,5286 ,2068 ,250 ,1818 
,98,1915,7257 ,1315 ,5942 ,5527 ,1094 ,4433 ,1730 ,221 ,1509 
,99,1914,5759 ,957 ,4802 ,4390 ,816 ,3574 ,1369 ,141 ,1228 
,95-99,,55577 ,9846 ,45731 ,42093 ,8138 ,33955 ,13484 ,1708 ,11776 
,100 лет и старше,1913,11698 ,2682 ,9016 ,9390 ,2370 ,7020,2308,312,1996
,,-,,,,,,,,,
,Итого,,143666931 ,66546888 ,77120043 ,106548716 ,48736100 ,57812616 ,37118215 ,17810788 ,19307427 
